2020-11-05 22:36:57,350 - full-1 - INFO - Namespace(batch_size=96, bptt=35, clip=0.25, concat=True, cuda=True, data='data/penn', dropout=0.2, emsize=300, epochs=400, index_module='linear', log_interval=1000, loss='full', lr=1.0, lr_decay=2, min_freq=3, nhid=300, nlayers=3, noise_ratio=500, norm_term=-1, prof=False, save='full-1', seed=1111, tb_name=None, train=True, vocab=None, weight_decay=1e-08)
2020-11-05 22:36:57,699 - full-1 - INFO - Vocabulary size is 9957
2020-11-05 22:37:07,865 - full-1 - INFO - model definition:
 RNNModel(
  (drop): Dropout(p=0.2, inplace=False)
  (encoder): Embedding(9957, 300)
  (rnn): LSTM(300, 300, num_layers=3, batch_first=True, dropout=0.2)
  (proj): Linear(in_features=300, out_features=300, bias=True)
  (criterion): IndexLinear(
    (alias): AliasMultinomial()
    (bce_with_logits): BCEWithLogitsLoss()
    (ce): CrossEntropyLoss()
    (emb): Embedding(9957, 300)
    (bias): Embedding(9957, 1)
  )
)
2020-11-05 22:58:01,895 - full-1 - WARNING - | end of epoch 133 | time:  9.53s |valid ppl   116.85 | valid loss:  4.81
2020-11-05 22:58:11,446 - full-1 - WARNING - | end of epoch 134 | time:  9.55s |valid ppl   116.85 | valid loss:  4.68
2020-11-05 22:58:20,987 - full-1 - WARNING - | end of epoch 135 | time:  9.54s |valid ppl   116.85 | valid loss:  4.68
2020-11-05 22:58:30,506 - full-1 - WARNING - | end of epoch 136 | time:  9.52s |valid ppl   116.85 | valid loss:  4.77
2020-11-05 22:58:40,048 - full-1 - WARNING - | end of epoch 137 | time:  9.54s |valid ppl   116.85 | valid loss:  4.73
2020-11-05 22:58:49,583 - full-1 - WARNING - | end of epoch 138 | time:  9.53s |valid ppl   116.85 | valid loss:  4.86
2020-11-05 22:58:59,125 - full-1 - WARNING - | end of epoch 139 | time:  9.54s |valid ppl   116.85 | valid loss:  4.84
2020-11-05 22:59:08,659 - full-1 - WARNING - | end of epoch 140 | time:  9.53s |valid ppl   116.85 | valid loss:  4.50
2020-11-05 22:59:18,192 - full-1 - WARNING - | end of epoch 141 | time:  9.53s |valid ppl   116.85 | valid loss:  4.69
2020-11-05 22:59:27,732 - full-1 - WARNING - | end of epoch 142 | time:  9.54s |valid ppl   116.85 | valid loss:  4.88
2020-11-05 22:59:37,272 - full-1 - WARNING - | end of epoch 143 | time:  9.54s |valid ppl   116.85 | valid loss:  4.80
2020-11-05 22:59:46,815 - full-1 - WARNING - | end of epoch 144 | time:  9.54s |valid ppl   116.85 | valid loss:  4.80
